raceId;year;round;circuitId;name;date;time
471;1982;5;40;Belgian Grand Prix;09.05.82;X
472;1982;6;6;Monaco Grand Prix;23.05.82;X
473;1982;7;37;Detroit Grand Prix;06.06.82;X
474;1982;8;7;Canadian Grand Prix;13.06.82;X
475;1982;9;39;Dutch Grand Prix;03.07.82;X
476;1982;10;38;British Grand Prix;18.07.82;X
477;1982;11;34;French Grand Prix;25.07.82;X
478;1982;12;10;German Grand Prix;08.08.82;X
479;1982;13;23;Austrian Grand Prix;15.08.82;X
480;1982;14;41;Swiss Grand Prix;29.08.82;X
481;1982;15;14;Italian Grand Prix;12.09.82;X
482;1982;16;44;Caesars Palace Grand Prix;25.09.82;X
483;1981;1;43;United States Grand Prix West;15.03.81;X
484;1981;2;36;Brazilian Grand Prix;29.03.81;X
485;1981;3;25;Argentine Grand Prix;12.04.81;X
486;1981;4;21;San Marino Grand Prix;03.05.81;X
487;1981;5;40;Belgian Grand Prix;17.05.81;X
488;1981;6;6;Monaco Grand Prix;31.05.81;X
489;1981;7;45;Spanish Grand Prix;21.06.81;X
490;1981;8;41;French Grand Prix;05.07.81;X
